latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,location,place,country,continent,type,timeAdded,timestamp,locationInferred,state,initialPosition,time_utc,time_mmt,state_region,nearest_city,place_type
24.007,97.597,35.0,0.0,,17,123.3,,0.95,us,usp000grfy,2014-11-07T01:38:02.818Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2008-12-25 21:26:02,2008-12-26 03:56:02,Kachin,武甸,village
23.97,97.569,35.0,4.8,mwc,67,76.9,,1.12,us,usp000grfr,2015-02-11T17:19:01.000Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2008-12-25 20:20:51,2008-12-26 02:50:51,,武甸,village
19.77,94.469,55.2,0.0,,10,203.5,,0.67,us,usp000grcp,2014-11-07T01:38:02.274Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-12-24 14:43:44,2008-12-24 21:13:44,Magway,Let Pan Khon Myauk,village
24.612,94.729,87.2,4.4,mb,16,112.8,,0.74,us,usp000gr9a,2014-11-07T01:38:01.565Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-12-23 16:02:22,2008-12-23 22:32:22,Saigang,Mei Nei,village
22.564,95.695,27.2,4.6,mb,12,179.6,,0.88,us,usp000gr4b,2014-11-07T01:38:00.968Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-12-21 14:51:07,2008-12-21 21:21:07,Saigang,Shwebo,city
22.746,95.898,10.0,5.3,mwc,63,68.3,,1.09,us,usp000gr2b,2015-02-11T17:19:01.000Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-12-20 23:22:48,2008-12-21 05:52:48,Saigang,Tha Min Kya,village
22.583,94.526,108.1,4.5,mb,30,116.1,,0.77,us,usp000gqyd,2014-11-07T01:38:00.022Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-12-19 11:52:32,2008-12-19 18:22:32,Saigang,Htan Ta Pin,village
21.122,94.556,121.2,4.1,mb,28,183.8,,0.57,us,usp000gqrh,2014-11-07T01:37:58.749Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-12-16 22:31:32,2008-12-17 05:01:32,Magway,Kan Bar Ni,village
24.899,94.656,79.6,4.0,mb,33,140.2,,0.92,us,usp000gqku,2014-11-07T01:37:58.186Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-12-14 16:54:48,2008-12-14 23:24:48,,Chahong Khunou,village
18.304,94.423,35.0,0.0,,11,228.1,,0.25,us,usp000gqg1,2014-11-07T01:37:57.681Z,,Myanmar,MM,Asia,earthquake,0,0,1,,,2008-12-12 21:25:26,2008-12-13 03:55:26,Rakhine,Tha Yet Pin Kwin,village
23.135,93.645,73.9,4.2,mb,11,145.5,,0.83,us,usp000gpz2,2014-11-07T01:37:54.232Z,,Myanmar-India border region,MM,Asia,earthquake,0,0,1,,,2008-12-05 12:59:53,2008-12-05 19:29:53,Chin,Ngamual,village
24.915,98.678,35.0,0.0,,6,155.4,,1.4,us,usp000gpz1,2014-11-07T01:37:54.230Z,,Myanmar-China border region,MM,Asia,earthquake,0,0,1,,,2008-12-05 11:05:51,2008-12-05 17:35:51,,岩子头,village
